Tag,Text/Placeholder/Alt,X Position,Y Position,Width,Height
p,"Neither Jubilant FoodWorks nor its Directors/Officers shall be responsible for any loss, harm, damage or fraud that occurs or may occur or arise to any person who decides to access such fake websites, or deal with them.",32,2964,1823,26
div,Menu Veg Pizza Chicken Pizza Pasta Pizza Crust Beverages Pizza Mania Burger Pizza Farm House pizza Veg Margherita Pizza Cheese Corn Pizza Double Cheese Margherita Pizza Paneer Makhani Pizza Choco Lava Cake Roasted Chicken Wings Peri Peri Garlic Bread Stuffed Garlic Bread Paneer Zingy Parcel Fresh Pan Pizza New Hand Tossed Pizza Classic Hand Tossed Pizza Golden Corn Pizza Extra Cheese Pizza Wednesday Offer - Pizza Buy 1 Get 1,0,3038,1887,66
span,Menu,12,3050,50,24
a,Menu,22,3056,30,12
span,Veg Pizza,70,3050,72,24
a,Veg Pizza,80,3056,51,12
span,Chicken Pizza,150,3050,94,24
a,Chicken Pizza,160,3056,73,12
span,Pasta,252,3050,49,24
a,Pasta,262,3056,29,12
span,Pizza Crust,309,3050,79,24
a,Pizza Crust,319,3056,58,12
span,Beverages,396,3050,77,24
a,Beverages,406,3056,56,12
span,Pizza Mania,481,3050,83,24
a,Pizza Mania,491,3056,62,12
span,Burger Pizza,572,3050,87,24
a,Burger Pizza,582,3056,66,12
span,Farm House pizza,667,3050,115,24
a,Farm House pizza,677,3056,94,12
span,Veg Margherita Pizza,790,3050,132,24
a,Veg Margherita Pizza,800,3056,111,12
span,Cheese Corn Pizza,929,3050,120,24
a,Cheese Corn Pizza,940,3056,100,12
span,Double Cheese Margherita Pizza,1058,3050,193,24
a,Double Cheese Margherita Pizza,1068,3056,172,12
span,Paneer Makhani Pizza,1259,3050,136,24
a,Paneer Makhani Pizza,1269,3056,115,12
span,Choco Lava Cake,1402,3050,113,24
a,Choco Lava Cake,1413,3056,92,12
span,Roasted Chicken Wings Peri Peri,1523,3050,192,24
a,Roasted Chicken Wings Peri Peri,1533,3056,171,12
span,Garlic Bread,1723,3050,85,24
a,Garlic Bread,1733,3056,65,12
span,Stuffed Garlic Bread,12,3078,126,24
a,Stuffed Garlic Bread,22,3084,105,12
span,Paneer Zingy Parcel,146,3078,125,24
a,Paneer Zingy Parcel,156,3084,105,12
span,Fresh Pan Pizza,280,3078,103,24
a,Fresh Pan Pizza,290,3084,83,12
span,New Hand Tossed Pizza,391,3078,147,24
a,New Hand Tossed Pizza,401,3084,126,12
span,Classic Hand Tossed Pizza,546,3078,160,24
a,Classic Hand Tossed Pizza,556,3084,139,12
span,Golden Corn Pizza,714,3078,118,24
a,Golden Corn Pizza,724,3084,98,12
span,Extra Cheese Pizza,840,3078,121,24
a,Extra Cheese Pizza,850,3084,101,12
span,Wednesday Offer - Pizza Buy 1 Get 1,969,3078,209,24
a,Wednesday Offer - Pizza Buy 1 Get 1,979,3084,188,12
div,"Menu
Veg Pizza
Chicken Pizza
Pasta
Pizza Crust
Beverages
Pizza Mania
Burger Pizza
COMPANY
Blog
Investor
Ads
PIZZA RESTAURANTS
Restaurants Near Me
Pizza Near Me
Food Near Me
Food Delivery
Italian Food
Order Food Online
ABOUT
Gift card
Card Balance Enquiry
FAQ
Virtual Pizza Party
E-Gift Vouchers
LEGAL
Disclaimer
Terms & Conditions
Privacy Policy
SOCIAL MEDIA
All Rights Reserved. Copyright © Jubilant FoodWorks Ltd.",0,3123,1887,475
div,"Menu
Veg Pizza
Chicken Pizza
Pasta
Pizza Crust
Beverages
Pizza Mania
Burger Pizza
COMPANY
Blog
Investor
Ads
PIZZA RESTAURANTS
Restaurants Near Me
Pizza Near Me
Food Near Me
Food Delivery
Italian Food
Order Food Online
ABOUT
Gift card
Card Balance Enquiry
FAQ
Virtual Pizza Party
E-Gift Vouchers
LEGAL
Disclaimer
Terms & Conditions
Privacy Policy
SOCIAL MEDIA",0,3171,1887,365
ul,"Menu
Veg Pizza
Chicken Pizza
Pasta
Pizza Crust
Beverages
Pizza Mania
Burger Pizza",57,3185,150,337
a,Menu,97,3185,110,20
li,Menu,97,3185,110,20
li,Veg Pizza,97,3245,110,18
a,Veg Pizza,97,3245,77,18
li,Chicken Pizza,97,3285,110,18
a,Chicken Pizza,97,3285,110,18
li,Pasta,97,3324,110,18
a,Pasta,97,3324,43,18
li,Pizza Crust,97,3364,110,18
a,Pizza Crust,97,3364,87,18
li,Beverages,97,3404,110,18
a,Beverages,97,3404,85,18
li,Pizza Mania,97,3443,110,18
a,Pizza Mania,97,3443,93,18
li,Burger Pizza,97,3483,110,18
a,Burger Pizza,97,3483,99,18
ul,"COMPANY
Blog
Investor
Ads",321,3185,135,337
li,COMPANY,361,3185,95,20
li,Blog,361,3245,95,18
a,Blog,361,3245,36,18
li,Investor,361,3285,95,18
a,Investor,361,3285,63,18
li,Ads,361,3324,95,18
a,Ads,361,3324,31,18
ul,"PIZZA RESTAURANTS
Restaurants Near Me
Pizza Near Me
Food Near Me
Food Delivery
Italian Food
Order Food Online",571,3185,233,337
li,PIZZA RESTAURANTS,611,3185,193,20
li,Restaurants Near Me,611,3245,193,18
a,Restaurants Near Me,611,3245,165,18
li,Pizza Near Me,611,3285,193,18
a,Pizza Near Me,611,3285,113,18
li,Food Near Me,611,3324,193,18
a,Food Near Me,611,3324,113,18
li,Food Delivery,611,3364,193,18
a,Food Delivery,611,3364,110,18
li,Italian Food,611,3404,193,18
a,Italian Food,611,3404,92,18
li,Order Food Online,611,3443,193,18
a,Order Food Online,611,3443,148,18
ul,"ABOUT
Gift card
Card Balance Enquiry
FAQ
Virtual Pizza Party
E-Gift Vouchers",918,3185,210,337
li,ABOUT,958,3185,170,20
li,Gift card,958,3245,170,18
a,Gift card,958,3245,67,18
li,Card Balance Enquiry,958,3285,170,18
a,Card Balance Enquiry,958,3285,170,18
li,FAQ,958,3324,170,18
a,FAQ,958,3324,34,18
li,Virtual Pizza Party,958,3364,170,18
a,Virtual Pizza Party,958,3364,141,18
li,E-Gift Vouchers,958,3404,170,18
a,E-Gift Vouchers,958,3404,122,18
ul,"LEGAL
Disclaimer
Terms & Conditions
Privacy Policy",1242,3185,193,337
li,LEGAL,1282,3185,153,20
li,Disclaimer,1282,3245,153,18
a,Disclaimer,1282,3245,82,18
li,Terms & Conditions,1282,3285,153,18
a,Terms & Conditions,1282,3285,153,18
li,Privacy Policy,1282,3324,153,18
a,Privacy Policy,1282,3324,108,18
ul,SOCIAL MEDIA,1549,3185,281,337
li,SOCIAL MEDIA,1589,3185,241,20
li,[No text],1589,3245,241,34
ul,[No text],1589,3245,241,34
li,[No text],1589,3245,56,34
a,[No text],1589,3259,29,18
img,facebook,1589,3245,29,28
li,[No text],1645,3245,60,34
a,[No text],1645,3257,33,18
img,Twitter,1645,3245,33,26
li,[No text],1705,3245,58,34
a,[No text],1705,3261,31,18
img,Instagram,1705,3245,31,30
li,[No text],1763,3245,67,34
a,[No text],1763,3260,40,18
img,You_tube,1763,3245,40,29
li,[No text],1589,3301,241,48
a,[No text],1589,3331,128,18
img,Domino's Customer Care Number,1589,3301,128,44
div,All Rights Reserved. Copyright © Jubilant FoodWorks Ltd.,0,3536,1887,62
div,[No text],1807,852,60,60
img,Domino's,1807,852,60,60
